StationID,StationName__Zh_tw,StationName__En,StationPosition__PositionLon,StationPosition__PositionLat,LocationCity,LocationCityCode,LocationTown,LocationTownCode,LineType,MLineType,Line_Type,StationType
O04,頂溪,Dingxi,121.515462,25.013858,新北市,NWT,永和區,65000040,中和新蘆線,中和新蘆線,中和新蘆線,一般車站
O05,古亭,Guting,121.522868,25.026373,臺北市,TPE,中正區,63000050,中和新蘆線,中和新蘆線,中和新蘆線x松山新店線,轉乘站
O06,東門,Dongmen,121.528766,25.033894,臺北市,TPE,大安區,63000030,中和新蘆線,中和新蘆線,中和新蘆線x淡水信義線,轉乘站
O07,忠孝新生,Zhongxiao Xinsheng,121.53321,25.042498,臺北市,TPE,大安區,63000030,中和新蘆線,中和新蘆線,中和新蘆線x板南線,轉乘站
O08,松江南京,Songjiang Nanjing,121.53285,25.052693,臺北市,TPE,中山區,63000040,中和新蘆線,中和新蘆線,中和新蘆線x松山新店線,轉乘站
O09,行天宮,Xingtian Temple,121.53315,25.05924,臺北市,TPE,中山區,63000040,中和新蘆線,中和新蘆線,中和新蘆線,一般車站
O10,中山國小,Zhongshan Elementary School,121.526609,25.062665,臺北市,TPE,中山區,63000040,中和新蘆線,中和新蘆線,中和新蘆線,一般車站
O11,民權西路,Minquan W. Rd.,121.519585,25.06235,臺北市,TPE,中山區,63000040,中和新蘆線,中和新蘆線,中和新蘆線x淡水信義線,轉乘站
O12,大橋頭,Daqiaotou,121.513003,25.06322,臺北市,TPE,大同區,63000060,中和新蘆線,中和新蘆線,中和新蘆線,一般車站
O50,三重國小,Sanchong Elementary School,121.49701,25.070275,新北市,NWT,三重區,65000020,中和新蘆線,中和新蘆線,中和新蘆線,一般車站
O13,台北橋,Taipei Bridge,121.500575,25.063075,新北市,NWT,三重區,65000020,中和新蘆線,中和新蘆線,中和新蘆線,一般車站
O51,三和國中,Sanhe Junior High School,121.486795,25.07646,新北市,NWT,三重區,65000020,中和新蘆線,中和新蘆線,中和新蘆線,一般車站
O14,菜寮,Cailiao,121.491421,25.059451,新北市,NWT,三重區,65000020,中和新蘆線,中和新蘆線,中和新蘆線,一般車站
O15,三重,Sanchong,121.48422,25.05571,新北市,NWT,三重區,65000020,中和新蘆線,中和新蘆線,中和新蘆線,一般車站
O52,徐匯中學,St.lgnatius High School,121.479945,25.080485,新北市,NWT,蘆洲區,65000140,中和新蘆線,中和新蘆線,中和新蘆線,一般車站
O53,三民高中,Sanmin Senior High School,121.473365,25.085425,新北市,NWT,蘆洲區,65000140,中和新蘆線,中和新蘆線,中和新蘆線,一般車站
O16,先嗇宮,Xianse Temple,121.47165,25.04632,新北市,NWT,三重區,65000020,中和新蘆線,中和新蘆線,中和新蘆線,一般車站
O54,蘆洲,Luzhou,121.46471,25.09152,新北市,NWT,蘆洲區,65000140,中和新蘆線,中和新蘆線,中和新蘆線,一般車站
